Date;From;Message
28/05/2014;Sufyaan Meza;Since 2012 SAHA has been based at the Women'sÿJailÿMuseum, Constitution Hill where it took over responsibility for archiving the Constitution Hill Trust records in addition to its original collection.
27/07/2013;Emil Hull;In October 2012, Muirhead was sentenced to 10 months inÿjailÿfor child pornography offenses after pleading guilty in July 2012.Collectors returned on 9 July 2010 without Muirhead as host.
31/05/2012;Lois Welch;In October 1981 the company was staging David Edgar's TheÿJailÿDiary of Albie Sachs when their space in the basement of the Trinity Methodist Church burned in an arson attack.
09/04/2022;Kristina Bass;It is one of nine Noble County properties on the National Register, and one of two in Caldwell, along with the building that historically housed the countyÿjailÿand sheriff's office.
18/03/2019;Mario Merritt;Notable buildings include the Montgomery County Courthouse, Philadelphia and Western Railroad Station (1931), Scheidt Brewery, Montgomery CountyÿJail, Y.M.C.A, Odd Fellows Hall, and a variety of workers' housing and imposing dwellings.
04/09/2017;Logan Gordon;"The term ""outsider"" was a thinly veiled reference to Martin Luther King, Jr., and King replied with his famous ""Letter from BirminghamÿJail"", arguing that civil action was in fact necessary."
27/07/2016;Leland Garza;She resigned one day after being found in contempt of court for failure to place aÿjailÿinmate found incompetent to stand trial because of mental illness in a treatment facility.
14/02/2020;Chelsey Gamble;The courthouse is an example of Romanesque Revival style architecture and was designed by Adolph Scherrer who also designed the 1888 Indiana State Capitol and Tipton CountyÿJailÿand Sheriff's Home.
18/11/2015;Emmie Nelson;These items are formally known as Safety Smocks and were designed and developed by Lonna Speer in 1989 while she was a nurse working in the Santa Cruz, California, countyÿjail.
07/09/2022;Brooke Mullen;Of the about ten masked invididuals at the scene, two stateless Palestinians and one Syrian could later be identified and they were sentenced toÿjailÿfor having committed a hate crime.
